,Type,Name,T0,T1
0,ECG,ECGFiveDays,100,99.5354
1,Sensor,Plane,95.2381,98.0952
2,Simulated,TwoPatterns,100,100
3,Sensor,Trace,100,76
4,Power,PowerCons,95,100
5,Spectro,Coffee,100,53.5714
6,Simulated,BME,100,100
7,Motion,GunPointMaleVersusFemale,100,100
8,Motion,GunPointOldVersusYoung,100,100
9,EPG,InsectEPGRegularTrain,96.7872,100
10,Sensor,Wafer,99.0591,99.6755
11,Simulated,SyntheticControl,99.6667,99
12,Sensor,FreezerRegularTrain,99.6491,99.5088
13,Traffic,Chinatown,99.1254,98.8338
14,Simulated,ShapeletSim,100,100
15,Motion,GunPointAgeSpan,99.0506,99.0506
16,ECG,TwoLeadECG,99.2976,97.9807
17,Motion,GunPoint,98.6667,99.3333
18,Simulated,UMD,99.3056,96.5278
19,Sensor,DodgerLoopWeekend,95.6522,97.8261
20,Device,HouseTwenty,98.3193,96.6387
21,Motion,ToeSegmentation2,96.1538,94.6154
22,Sensor,ItalyPowerDemand,96.3071,96.5015
23,Simulated,CBF,100,100
24,Image,Symbols,67.5377,97.0854
25,Sensor,FordA,94.2424,95.5303
26,Image,Fish,84,96
27,Image,DiatomSizeReduction,97.3856,94.1176
28,ECG,ECG5000,93.4667,94.0667
29,ECG,ECG200,92,93
30,Motion,ToeSegmentation1,92.1053,94.7369
31,Spectro,Strawberry,87.2973,93.5135
32,Sensor,SonyAIBORobotSurface1,96.0067,92.6789
33,Sensor,FreezerSmallTrain,99.4386,88.7368
34,Image,MixedShapesRegularTrain,82.1443,92.0412
35,Sensor,DodgerLoopGame,87.6812,90.5797
36,Spectrum,SemgHandGenderCh2,65,89
37,Image,BirdChicken,100,95
38,Sensor,SonyAIBORobotSurface2,93.4942,90.8709
39,Sensor,Lightning2,90.1639,86.8852
40,Image,ProximalPhalanxOutlineCorrect,87.2852,90.0344
41,Image,ProximalPhalanxOutlineAgeGroup,87.3171,86.8293
42,Device,LargeKitchenAppliances,88.8,88.2667
43,Sensor,Car,78.3333,86.6667
44,Sensor,MoteStrain,84.984,84.6645
45,Sensor,FordB,83.4568,84.6914
46,Image,ArrowHead,79.4286,85.7143
47,Image,BeetleFly,95,90
48,Image,ProximalPhalanxTW,77.561,83.4146
49,Device,SmallKitchenAppliances,80,81.3333
50,Image,FaceAll,75.858,80.7101
51,Motion,UWaveGestureLibraryX,70.7705,78.7549
52,Spectrum,SemgHandSubjectCh2,39.3333,58.4444
53,Image,DistalPhalanxOutlineAgeGroup,71.223,74.8201
54,Sensor,Earthquakes,33.0935,75.5396
55,Motion,WormsTwoClass,57.1429,79.2208
56,Sensor,Lightning7,72.6027,71.2329
57,Spectro,Ham,84.7619,78.0952
58,Image,DistalPhalanxTW,71.9425,73.3813
59,Motion,UWaveGestureLibraryZ,66.5829,71.1334
60,Device,Computers,72,70
61,Device,ElectricDevices,64.9981,68.6292
62,Motion,UWaveGestureLibraryY,64.3216,73.0039
63,Sensor,InsectWingbeatSound,58.4849,56.4646
64,Image,MiddlePhalanxOutlineAgeGroup,61.6883,63.6364
65,Image,Herring,59.375,70.3125
66,Image,MiddlePhalanxTW,55.8442,55.8442
67,EOG,EOGVerticalSignal,38.1215,46.4088
68,Sensor,DodgerLoopDay,60,62.5
69,Device,RefrigerationDevices,49.0667,44.5333
